parameter,n,h,d,b,k,w,signature_bytes,public_key_bytes,secret_key_bytes,keygen_us,sign_us,verify_us
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193750.08,1728506.86,1407.11
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193174.61,1731229.34,1389.78
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192916.28,1731854.8,1398.61
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3302.08,82781.97,4170.97
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3288.78,82851.15,4170.07
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3336.89,82935.3,4142.26
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3280.71,82554.89,4145.46
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3288.77,82445.15,4225.75
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3310.09,82966.48,4152.89
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3279.51,82665.76,4141.9
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3271.5,83229.43,4164.71
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3276.47,83222.88,4186.9
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3300.38,82352.03,4186.38
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3306.56,82968.86,4201.01
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3284.7,83406.41,4335.48
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3295.59,82405.1,4173.95
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3284.62,83058.15,4151.66
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3444.64,83706.64,4238.2
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3255.63,82811.55,4221.56
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3319.59,84105.38,4147.3
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3298.96,82655.82,4151.65
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3258.23,83023.78,4216.03
sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,48,96,3297.05,82949.22,4259.37
